"","Home","Away","p1","p2","p3"
"1","Rusia","Arabia Saudita",0,0,0
"2","Egipto","Uruguay",0,0,1
"3","Marruecos","Iran",0,1,0
"4","Portugal","Espana",6,13,16
"5","Francia","Australia",2,1,1
"6","Peru","Dinamarca",0,0,1
"7","Argentina","Islandia",0,0,0
"8","Croacia","Nigeria",0,0,0
"9","Costa Rica","Serbia",0,0,0
"10","Brasil","Suiza",1,1,1
"11","Alemania","Mexico",3,0,0
"12","Suecia","Republica de Corea",0,2,0
"13","Belgica","Panama",0,0,0
"14","Tunes","Inglaterra",0,0,1
"15","Polonia","Senegal",0,0,0
"16","Colombia","Japon",2,1,0
"17","Rusia","Egipto",0,0,0
"18","Portugal","Marruecos",0,0,1
"19","Iran","Espana",0,0,0
"20","Uruguay","Arabia Saudita",0,1,1
"21","Francia","Peru",0,0,0
"22","Dinamarca","Australia",2,0,1
"23","Argentina","Croacia",2,0,1
"24","Brasil","Costa Rica",9,0,1
"25","Serbia","Suiza",0,0,0
"26","Nigeria","Islandia",0,0,0
"27","Belgica","Tunes",1,1,1
"28","Alemania","Suecia",5,2,0
"29","Republica de Corea","Mexico",2,2,7
"30","Inglaterra","Panama",0,0,0
"31","Japon","Senegal",0,0,2
"32","Polonia","Colombia",0,0,1
"33","Uruguay","Rusia",0,1,0
"34","Arabia Saudita","Egipto",1,0,2
"35","Iran","Portugal",0,0,1
"36","Espana","Marruecos",0,0,0
"37","Australia","Peru",0,0,0
"38","Dinamarca","Francia",5,1,8
"39","Nigeria","Argentina",2,1,5
"40","Islandia","Croacia",1,1,4
"41","Republica de Corea","Alemania",1,0,2
"42","Mexico","Suecia",0,1,2
"43","Serbia","Brasil",0,0,1
"44","Suiza","Costa Rica",1,0,1
"45","Japon","Polonia",2,0,0
"46","Senegal","Colombia",0,1,1
"47","Inglaterra","Belgica",15,4,1
"48","Panama","Tunes",0,0,0
