"","Home","Away","a1","a2","a3","p1","p2","p3","prob.home","prob.draw","prob.away"
"1","Rusia","Arabia Saudita",1841.95677565072,500.477514970763,186.297910891565,0,0,0,0.728411167678649,0.197916376701063,0.0736724556202887
"2","Egipto","Uruguay",552.189992708273,1061.8470189283,2648.52013304942,0,0,1,0.129513918535491,0.24905190264701,0.621434178817499
"3","Marruecos","Iran",2286.19937994562,1774.77751779613,1479.66527020258,0,1,0,0.412549080337622,0.320442472462067,0.267008447200311
"4","Portugal","Espana",1331.98804878805,1689.66030590657,3014.75929233168,6,13,16,0.220375261648488,0.28043913452929,0.499185603822222
"5","Francia","Australia",1582.30681363982,295.171334841026,98.892273424349,2,1,1,0.800005289977849,0.149553503508751,0.0504412065133999
"6","Peru","Dinamarca",1091.66677774408,1275.8884836717,2005.25220336991,0,0,1,0.24959186853406,0.291711167888415,0.458696963577525
"7","Argentina","Islandia",1761.15561703664,488.445932246296,191.546513060782,0,0,0,0.721445636257628,0.200088613952136,0.0784657497902363
"8","Croacia","Nigeria",2854.49926472307,1534.46188137089,1117.5242745136,0,0,0,0.518388599385072,0.278664477277701,0.202946923337227
"9","Costa Rica","Serbia",14.765451555728,18.7620386348455,25.9739648761894,0,0,0,0.248152781123766,0.315320669281007,0.436526549595227
"10","Brasil","Suiza",3093.70557355007,887.562580775462,427.26388946168,1,1,1,0.701503591684971,0.201418140445524,0.0970782678695051
"11","Alemania","Mexico",2579.99465394734,846.658380473779,450.867168662624,3,0,0,0.665631028513833,0.218181670540193,0.116187300945974
"12","Suecia","Republica de Corea",1645.84949525264,1048.73111970326,894.731098568294,0,2,0,0.458286449782313,0.29257586183522,0.249137688382467
"13","Belgica","Panama",734.124255535049,107.728941946663,27.133788133517,0,0,0,0.844804660699608,0.123970719619457,0.0312246196809342
"14","Tunes","Inglaterra",449.721056521509,977.929221600345,3605.68711699818,0,0,1,0.0893307343598863,0.194251823993419,0.716417441646695
"15","Polonia","Senegal",11217.095430635,8192.10427377906,7781.87798200272,0,0,0,0.412528534543463,0.301279131642193,0.286192333814343
"16","Colombia","Japon",797.458859443747,381.916835303325,257.911273106313,2,1,0,0.555069147529167,0.265861487224332,0.179069365246501
"17","Rusia","Egipto",1098.19721432505,559.4578769727,405.088606905721,0,0,0,0.5323963492321,0.271220257494887,0.196383393273013
"18","Portugal","Marruecos",6317.83169927518,2474.85727918441,1324.46545984814,0,0,1,0.624405541326353,0.244595720916703,0.130998737756945
"19","Iran","Espana",88.6073593441597,273.371489190051,1561.25223331684,0,0,0,0.0460721335986718,0.142141779929502,0.811786086471826
"20","Uruguay","Arabia Saudita",5905.55489492224,1249.29025537943,461.446577312553,0,1,1,0.775180986246066,0.164116878177226,0.0607021355767082
"21","Francia","Peru",5069.92389505966,1368.47508903611,636.580537527866,0,0,0,0.716599091144247,0.193424600714895,0.0899763081408577
"22","Dinamarca","Australia",2231.78861828657,1079.24734355258,736.222024481114,2,0,1,0.551517613404179,0.266463851734319,0.182018534861502
"23","Argentina","Croacia",1589.70283283288,844.1337129472,654.059520878654,2,0,1,0.514964851132479,0.273103234383326,0.211931914484195
"24","Brasil","Costa Rica",2185.19283974796,419.621954438297,172.248218254745,9,0,1,0.787277801023312,0.150560626927045,0.0621615720496428
"25","Serbia","Suiza",1902.88217537495,1773.9082078644,2131.2340004781,0,0,0,0.327629853054612,0.305423684659017,0.366946462286371
"26","Nigeria","Islandia",3368.52619975545,3065.53908343839,3419.42143118002,0,0,0,0.341861342832236,0.311112114148031,0.347026543019733
"27","Belgica","Tunes",3829.3169343669,839.991903284387,342.209724005724,1,1,1,0.763845399567371,0.167711395011067,0.0684432054215616
"28","Alemania","Suecia",7119.24728229391,2469.03590587567,1448.53582493299,5,2,0,0.645089101319171,0.223748315953384,0.131162582727445
"29","Republica de Corea","Mexico",998.602028271348,1280.71622388154,2193.255879946,2,2,7,0.223170622095399,0.286092341977417,0.490737035927183
"30","Inglaterra","Panama",5213.24368355064,938.431343114664,296.079862018481,0,0,0,0.808536269376525,0.145543892302989,0.0459198383204858
"31","Japon","Senegal",479.073002435989,483.674440991412,651.097320324839,0,0,2,0.296484546772617,0.299332245176972,0.404183208050411
"32","Polonia","Colombia",1305.55619779407,1245.40857698313,1599.416295738,0,0,1,0.314487197300836,0.299998616322777,0.385514186376386
"33","Uruguay","Rusia",5048.10247356315,3951.7357368196,4149.5295411141,0,1,0,0.383875384244562,0.30057986297529,0.315544752780148
"34","Arabia Saudita","Egipto",798.914322554083,1178.83623042183,2407.12312602229,1,0,2,0.18230112830794,0.268657741006566,0.549041130685494
"35","Iran","Portugal",403.276165806666,867.42432540061,3136.66758514001,0,0,1,0.0914796947129731,0.196767672385321,0.711752632901706
"36","Espana","Marruecos",1380.0421427826,391.41184632476,187.304160382347,0,0,0,0.70454953468458,0.199826531124697,0.0956239341907232
"37","Australia","Peru",1478.9672608293,1583.12410083047,2388.52583943174,0,0,0,0.271339410981408,0.290448593695671,0.43821199532292
"38","Dinamarca","Francia",1406.48045323779,2179.94418648311,5111.38422345255,5,1,8,0.162019217295319,0.250343438513946,0.587637344190735
"39","Nigeria","Argentina",403.362183021765,705.915069218156,2170.66695699012,2,1,5,0.123287427409448,0.215002148526023,0.661710424064528
"40","Islandia","Croacia",354.272140685076,487.460375220952,952.337043319996,1,1,4,0.19736578448548,0.271356388822538,0.531277826691982
"41","Republica de Corea","Alemania",198.874229361458,440.146205420498,1955.30535603527,1,0,2,0.0769538538708188,0.169461300148261,0.75358484598092
"42","Mexico","Suecia",2425.45638671101,1882.86895222345,1983.83965220039,0,1,2,0.385288771640878,0.299256485711877,0.315454742647245
"43","Serbia","Brasil",369.40391157887,739.643361133111,2644.20109032752,0,0,1,0.0983962369713319,0.197015031934191,0.704588731094478
"44","Suiza","Costa Rica",4963.77240868555,2712.05204660187,2017.81441221295,1,0,1,0.512062431009821,0.279718756408371,0.208218812581808
"45","Japon","Polonia",1867.10897474698,2374.28563498921,4482.35059414991,2,0,0,0.214206228932121,0.272101187865513,0.513692583202366
"46","Senegal","Colombia",353.652169430031,428.832706031442,706.89342026018,0,1,1,0.237131095741811,0.288211721509232,0.474657182748956
"47","Inglaterra","Belgica",1454.46631070176,1280.74970866844,1751.04447028339,15,4,1,0.326094400018745,0.285103293877092,0.388802306104163
"48","Panama","Tunes",2815.85178850977,2942.74339901726,4167.5178335645,0,0,0,0.283681213635841,0.29646482895816,0.419853957405999
